title,price,area,location,scraped_date,published_date,description,bedrooms,bathrooms
Cập nhật quỹ căn chuyển nhượng liền kề - song lập - đơn lập giá tốt nhất tại KĐT ParkCity Hà Nội,"33,5 tỷ",120 m²,"La Khê, Hà Đông",14/01/2026,,,,
Cập nhật quỹ căn đang bán giá rẻ nhất tại chung cư Park Kiara - KĐT ParkCity Hà Nội. LH 0968 450 ***,"12,3 tỷ",108 m²,"La Khê, Hà Đông",14/01/2026,,,,
"Còn duy nhất 5 suất ngoại giao chung cư An Bình Homeland. Giá ưu đãi, tự chọn căn, khoảng tầng",Giá thỏa thuận,78 m²,"Dương Nội, Hà Đông",14/01/2026,,,,
"Bán CC tại trung tám quận Hà đông(cũ),đã có sổ đỏ,view Hồ","9,5 tỷ",121 m²,"Mỗ Lao, Hà Đông",13/01/2026,,,,
"TỔNG HỢP CÁC CĂN HỘ CẦN BÁN 2 NGỦ, 3 NGỦ TẠI CHUNG CƯ BỘ TƯ LỆNH THỦ ĐÔ HN GIÁ 3.8X TỶ","3,86 tỷ",55 m²,"Yên Nghĩa, Hà Đông",13/01/2026,,,,
"Chính chủ cần đăng bán nhà 5 tầng ngay đường An Thắng, Phường Biên Giang giá tốt. LH 0568 410 ***","4,15 tỷ",30 m²,"Biên Giang, Hà Đông",13/01/2026,,,,
Qũy căn Góc C05 và C06 độc quyền tòa HH2 chung cư Kepler Hà Đông,Giá thỏa thuận,103 m²,"Mỗ Lao, Hà Đông",13/01/2026,,,,
Sẵn 6 căn góc 3PN 93m2 tầng trung tại dự án An Bình Homeland Geleximco. AC khách hàng nhanh tay.,"8,09 tỷ",93 m²,"Dương Nội, Hà Đông",12/1/2026,,,,
"0785 182 ***Bán nhanh Liền kề Văn Khê, 82,5m, MT 5m, 22,X tỉ.","22,8 tỷ","82,5 m²","La Khê, Hà Đông",12/1/2026,,,,
"Bán Liền kề Văn phú, DT 90,1m, MT4.5m, 23,3 tỉ.","23,3 tỷ","90,1 m²","Phú La, Hà Đông",12/1/2026,,,,
Cần chuyển nhượng lại suất ngoại giao Biệt Thự Dương Nội - Tập đoàn Nam Cường,30 tỷ,180 m²,"Dương Nội, Hà Đông",11/1/2026,,,,
"Văn phòng bđs Kiến Hưng Luxury tổng hợp quỹ căn đang bán giá từ 16,7 tỷ","16,7 tỷ",70 m²,"Kiến Hưng, Hà Đông",11/1/2026,,,,
"Chính chủ - cần bán căn hộ DT 69m2, 2PN 2WC, toà CT6A - Xa La, Hà Đông. (Ảnh thật 100%)","4,68 tỷ",69 m²,"Phúc La, Hà Đông",11/1/2026,,,,
"Tôi chính chủ cần bán gấp trước tết .Lô góc Vạn Phúc 3 thoáng , Kinh đa ngành . Giá mong muốn 23 Ty",23 tỷ,55 m²,"Vạn Phúc, Hà Đông",10/1/2026,,,,
Quỹ căn biệt thự KĐT Dương nội. Dt từ 165 - 230m2. Giá tốt nhất dự án chỉ từ 29 tỷ. Lh 0967 154 ***,29 tỷ,180 m²,"Dương Nội, Hà Đông",9/1/2026,,,,
"Căn góc B3x07 Kepler Tower chủ cần bán giá rẻ hơn thị trường, chỉ hơn 10 tỷ. LH 0982 791 ***.",Giá thỏa thuận,"72,8 m²","Mỗ Lao, Hà Đông",8/1/2026,,,,
"Bảng hàng mới nhất cần chuyển nhượng shophouse, liền kề, biệt thự dự án Geleximco Lê Trọng Tấn",Giá thỏa thuận,200 m²,"Dương Nội, Hà Đông",8/1/2026,,,,
"Chính chủ bán CC Victoria Văn Phú: 66.7 m2, căn góc, 2 ngủ, đầy đủ nội thất, giá 5,19 tỷ","5,19 tỷ","66,7 m²","Phú La, Hà Đông",7/1/2026,,,,
"Bán lô góc BT Nam Cường 236m2 rẻ nhất thị trường, đường lớn giá rẻ nhỉnh 40 tỷ LH: 0936 386 ***","42,3 tỷ",235 m²,"Dương Nội, Hà Đông",5/1/2026,,,,
"Chỉ với 8,6 tỷ cơ hội sở hữu ngay căn hộ 3 phòng ngủ tại Mulberry Lane LH ngay","8,6 tỷ","·116,3 m²","Mỗ Lao, Hà Đông",17/01/2026,,,,
"Bán gấp CC 3PN 2WC tại CT5 Văn Khê, 6,8 tỷ, 110.8m2, Hà Đông, HN","6,8 tỷ","·110,8 m²","La Khê, Hà Đông",17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
"Chính chủ bán nhà chung cư tầng 3 toà CT5C KĐT Văn Khê, Hà Đông, Hà Nội",9 tỷ,166 m²,"La Khê, Hà Đông",5/1/2026,,,,
"Chủ cơ cấu vốn, bán gấp Căn chung cư Mulberry -Mỗ Lao - hoàn thiện đẹp- 180m2- 3 ngủ- 68 triệu/m2","12,24 tỷ",180 m²,"Mỗ Lao, Hà Đông",17/01/2026,,,,
"BÁN 2 CĂN ĐẸP HPC LANDMARK 105, 110M2, 3 NGỦ 2VS. FULL NT. SỔ VĨNH VIỄN. 7,6 TỶ. 0907 833 ***","7,6 tỷ",110 m²,"La Khê, Hà Đông",17/01/2026,,,,
"Bán cắt lỗ biệt thự An Quý Dương Nội 198m², sổ đỏ chính chủ, vị trí đẹp cho gia đình an cư",33 tỷ,198 m²,"Dương Nội, Hà Đông",17/01/2026,,,,
Bán LK Văn Phú thang máy KD sầm uất giá đầu tư,"23,5 tỷ",102 m²,"Phú La, Hà Đông",,,,,
CHÍNH CHỦ CẦN BÁN CĂN HỘ TÂN TRIỀU 3 NGỦ - 65M - FULL NỘI THẤT - Ở LUÔN - GIÁ CHỈ NHỈNH 3 TỶ,"3,15 tỷ",65 m²,"Kiến Hưng, Hà Đông",,,,,
"Bán Nhà tại Cầu Am, Vạn Phúc, Hà Đông, 44m2, 4 tầng, Mt 6,8m giá 8 tỷ",8 tỷ,44 m²,"Vạn Phúc, Hà Đông",,,,,
Tổng hợp quỹ căn The Charm An Hưng chuyển nhượng giá tốt từ 5.2 tỷ/căn,"5,2 tỷ",54 m²,"La Khê, Hà Đông",17/01/2026,,,,
Chỉ nhỉnh 8 tỷ sở hữu lô liền kề 100m2 (5x20m) gần hồ điều hòa dự án Thanh Hà,"8,5 tỷ",100 m²,"Kiến Hưng, Hà Đông",,,,,
"Bán nhanh biệt thự Thanh Hà Mường Thanh, 240m2 đường 25m, giá rẻ.",Giá thỏa thuận,240 m²,"Kiến Hưng, Hà Đông",17/01/2026,,,,
